Log file open, 04/17/23 19:09:31
LogConfig: Display: Loading HoloLens ini files took 0.25 seconds
LogConfig: Display: Loading Mac ini files took 0.25 seconds
LogConfig: Display: Loading IOS ini files took 0.25 seconds
LogConfig: Display: Loading Android ini files took 0.25 seconds
LogConfig: Display: Loading VulkanPC ini files took 0.25 seconds
LogConfig: Display: Loading Unix ini files took 0.25 seconds
LogConfig: Display: Loading Windows ini files took 0.25 seconds
LogConfig: Display: Loading LinuxArm64 ini files took 0.25 seconds
LogConfig: Display: Loading TVOS ini files took 0.25 seconds
LogConfig: Display: Loading Linux ini files took 0.25 seconds
LogPluginManager: Mounting Engine plugin Bridge
LogPluginManager: Mounting Engine plugin EnhancedInput
LogPluginManager: Mounting Engine plugin FastBuildController
LogPluginManager: Mounting Engine plugin MeshPainting
LogPluginManager: Mounting Engine plugin TraceUtilities
LogPluginManager: Mounting Engine plugin XGEController
LogPluginManager: Mounting Engine plugin AISupport
LogPluginManager: Mounting Engine plugin InterchangeTests
LogPluginManager: Mounting Engine plugin OodleNetwork
LogPluginManager: Mounting Engine plugin AndroidDeviceProfileSelector
LogPluginManager: Mounting Engine plugin Niagara
LogPluginManager: Mounting Engine plugin AndroidPermission
LogPluginManager: Mounting Engine plugin AndroidFileServer
LogPluginManager: Mounting Engine plugin AppleImageUtils
LogPluginManager: Mounting Engine plugin ArchVisCharacter
LogPluginManager: Mounting Engine plugin AudioWidgets
LogPluginManager: Mounting Engine plugin CableComponent
LogPluginManager: Mounting Engine plugin ActorLayerUtilities
LogPluginManager: Mounting Engine plugin CustomMeshComponent
LogPluginManager: Mounting Engine plugin AudioCapture
LogPluginManager: Mounting Engine plugin AndroidMoviePlayer
LogPluginManager: Mounting Engine plugin AppleMoviePlayer
LogPluginManager: Mounting Engine plugin AssetTags
LogPluginManager: Mounting Engine plugin AudioSynesthesia
LogPluginManager: Mounting Engine plugin ChunkDownloader
LogPluginManager: Mounting Engine plugin EnvironmentQueryEditor
